"filename", "language", "JSON with Comments", "MS SQL", "TypeScript", "TypeScript JSX", "PostCSS", "Markdown", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\1234\Desktop\mio-beauty-shop\src\components\CatalogProductsContent.tsx", "TypeScript JSX", 0, 0, 0, 170, 0, 0, 0, 0, 0, 16, 186
"c:\Users\1234\Desktop\mio-beauty-shop\src\components\CategoryPageContent.tsx", "TypeScript JSX", 0, 0, 0, 146, 0, 0, 0, 0, 0, 13, 159
"c:\Users\1234\Desktop\mio-beauty-shop\src\components\CheckoutPageContent.tsx", "TypeScript JSX", 0, 0, 0, 176, 0, 0, 0, 0, 0, 20, 196
"c:\Users\1234\Desktop\mio-beauty-shop\src\components\FavoritesPageContent.tsx", "TypeScript JSX", 0, 0, 0, 43, 0, 0, 0, 0, 0, 5, 48
"c:\Users\1234\Desktop\mio-beauty-shop\src\components\HomePageContent.tsx", "TypeScript JSX", 0, 0, 0, 896, 0, 0, 0, 0, 0, 60, 956
"c:\Users\1234\Desktop\mio-beauty-shop\src\components\LuxuryFooter.tsx", "TypeScript JSX", 0, 0, 0, 72, 0, 0, 0, 0, 0, 8, 80
"c:\Users\1234\Desktop\mio-beauty-shop\src\components\MobileBottomNavigation.tsx", "TypeScript JSX", 0, 0, 0, 65, 0, 0, 0, 0, 0, 6, 71
"c:\Users\1234\Desktop\mio-beauty-shop\src\components\ProductCard.tsx", "TypeScript JSX", 0, 0, 0, 156, 0, 0, 0, 0, 0, 12, 168
"c:\Users\1234\Desktop\mio-beauty-shop\src\components\ProductDetailContent.tsx", "TypeScript JSX", 0, 0, 0, 394, 0, 0, 0, 0, 0, 25, 419
"c:\Users\1234\Desktop\mio-beauty-shop\src\components\SiteHeader.tsx", "TypeScript JSX", 0, 0, 0, 184, 0, 0, 0, 0, 0, 10, 194
"c:\Users\1234\Desktop\mio-beauty-shop\src\components\VideoHighlightsSection.tsx", "TypeScript JSX", 0, 0, 0, 151, 0, 0, 0, 0, 0, 9, 160
"c:\Users\1234\Desktop\mio-beauty-shop\src\components\admin\AdminAuthGuard.tsx", "TypeScript JSX", 0, 0, 0, 64, 0, 0, 0, 0, 0, 15, 79
"c:\Users\1234\Desktop\mio-beauty-shop\src\components\admin\AdminLayoutShell.tsx", "TypeScript JSX", 0, 0, 0, 92, 0, 0, 0, 0, 0, 10, 102
"c:\Users\1234\Desktop\mio-beauty-shop\src\components\admin\AdminOrdersPageContent.tsx", "TypeScript JSX", 0, 0, 0, 562, 0, 0, 0, 0, 1, 52, 615
"c:\Users\1234\Desktop\mio-beauty-shop\src\components\admin\AdminResourcePage.tsx", "TypeScript JSX", 0, 0, 0, 438, 0, 0, 0, 0, 1, 49, 488
"c:\Users\1234\Desktop\mio-beauty-shop\src\lib\admin\auth.ts", "TypeScript", 0, 0, 82, 0, 0, 0, 0, 0, 0, 16, 98
"c:\Users\1234\Desktop\mio-beauty-shop\src\lib\banners.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 5, 28
"c:\Users\1234\Desktop\mio-beauty-shop\src\lib\brand.ts", "TypeScript", 0, 0, 49, 0, 0, 0, 0, 0, 0, 6, 55
"c:\Users\1234\Desktop\mio-beauty-shop\src\lib\categories.ts", "TypeScript", 0, 0, 43, 0, 0, 0, 0, 0, 0, 9, 52
"c:\Users\1234\Desktop\mio-beauty-shop\src\lib\checkout.ts", "TypeScript", 0, 0, 78, 0, 0, 0, 0, 0, 0, 15, 93
"c:\Users\1234\Desktop\mio-beauty-shop\src\lib\commerce.tsx", "TypeScript JSX", 0, 0, 0, 160, 0, 0, 0, 0, 0, 25, 185
"c:\Users\1234\Desktop\mio-beauty-shop\src\lib\image-optimization.ts", "TypeScript", 0, 0, 83, 0, 0, 0, 0, 0, 0, 19, 102
"c:\Users\1234\Desktop\mio-beauty-shop\src\lib\language.tsx", "TypeScript JSX", 0, 0, 0, 82, 0, 0, 0, 0, 0, 20, 102
"c:\Users\1234\Desktop\mio-beauty-shop\src\lib\localized-data.ts", "TypeScript", 0, 0, 56, 0, 0, 0, 0, 0, 0, 8, 64
"c:\Users\1234\Desktop\mio-beauty-shop\src\lib\products.ts", "TypeScript", 0, 0, 281, 0, 0, 0, 0, 0, 0, 46, 327
"c:\Users\1234\Desktop\mio-beauty-shop\src\lib\security\admin-session.ts", "TypeScript", 0, 0, 101, 0, 0, 0, 0, 0, 0, 29, 130
"c:\Users\1234\Desktop\mio-beauty-shop\src\lib\security\rate-limit.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 9, 45
"c:\Users\1234\Desktop\mio-beauty-shop\src\lib\supabase-admin.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Users\1234\Desktop\mio-beauty-shop\src\lib\supabase.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\1234\Desktop\mio-beauty-shop\src\lib\translations.ts", "TypeScript", 0, 0, 398, 0, 0, 0, 0, 0, 0, 4, 402
"c:\Users\1234\Desktop\mio-beauty-shop\src\lib\ttn-print.ts", "TypeScript", 0, 0, 277, 0, 0, 0, 0, 0, 0, 7, 284
"c:\Users\1234\Desktop\mio-beauty-shop\src\lib\video-highlights.ts", "TypeScript", 0, 0, 42, 0, 0, 0, 0, 0, 0, 9, 51
